n1,k1,p1,a1,n2,k2,p2,a2,d,lat1,lat2,lat1u,lat2u,test_loss_1,test_loss_2,test_loss_3,m_test_loss,s_test_loss,UCL_test_loss,test_acc_1,test_acc_2,test_acc_3,m_test_acc,s_test_acc,LCL_test_acc
2048,7,2,relu,512,3,4,relu,0.5,-0.9227941,0.3509755,0.100067649,0.676905124,0.047769051,0.041568585,0.049856644,0.046398093,0.004310757,0.051922551,0.986000001,0.986249983,0.988250017,0.986833334,0.001233234,0.98525288
2048,7,2,tanh,8,7,2,relu,0.5,0.35954034,0.43326008,0.692458189,0.716897678,0.076079562,0.096343726,0.093092144,0.088505144,0.010882992,0.102452259,0.978999972,0.970499992,0.9745,0.974666655,0.00425244,0.969216934
2048,7,4,relu,8,3,4,relu,0.5,-0.973982,0.746436,0.087867649,0.844208617,1.616041303,1.640563965,1.071288824,1.442631364,0.321825732,1.855067635,0.426999986,0.419999987,0.759249985,0.535416653,0.193876947,0.286953348
2048,7,4,relu,8,5,4,tanh,0.5,-0.872375,-0.5926755,0.113191115,0.196243759,0.329724133,0.303364366,0.389075339,0.340721279,0.043900975,0.396982643,0.95025003,0.94749999,0.925750017,0.941166679,0.01342184,0.9239659
2048,7,4,relu,32,7,4,tanh,0.5,-0.7010266,-0.58545333,0.166355885,0.199063261,0.056281894,0.045452043,0.056146558,0.052626832,0.006213918,0.060590288,0.984000027,0.983500004,0.983500004,0.983666678,0.000288688,0.983296709
2048,7,4,relu,512,7,2,tanh,0.5,-0.27540138,-0.56899405,0.353433226,0.205576144,0.042137772,0.054056127,0.039194472,0.045129457,0.007869551,0.055214692,0.987999976,0.983749986,0.989250004,0.986999989,0.002883146,0.983305088
2048,7,4,tanh,8,7,2,relu,0.5,0.3613586,0.61076736,0.693342336,0.794321367,0.08088921,0.08440195,0.083681017,0.082990726,0.00185532,0.085368414,0.971499979,0.974250019,0.975499988,0.973749995,0.002046347,0.971127496
2048,7,4,tanh,32,5,2,relu,0.25,0.14297163,0.73751134,0.5805067,0.841186556,0.072237656,0.093627475,0.067489669,0.077784933,0.013923916,0.09562915,0.984000027,0.981750011,0.984499991,0.983416676,0.001464862,0.98153938
2048,7,4,tanh,512,5,2,relu,0.25,0.20346895,0.7136121,0.612899205,0.832912609,0.126428753,0.212515742,0.252377599,0.197107365,0.064372677,0.27960427,0.971000016,0.964999974,0.974250019,0.970083336,0.00469266,0.96406945
2048,7,4,tanh,512,5,2,relu,0.5,0.27730355,0.71728116,0.651374368,0.834199972,0.180258349,0.328289717,0.165180057,0.224576041,0.090134531,0.34008809,0.982500017,0.972750008,0.977500021,0.977583349,0.004875539,0.971335095
